content_hash,video_a,class_a,video_b,class_b,video_path,adjudicated_class,notes
60e9448c82ec42e6186ee73773d24664e700cf030aca9b59d03e81a2b67dab77,38104_1,good_form,37448_1,depth_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/38104_1.mp4,,
2938f17f7aa025e7ca87129952f3c3d6b3d931505d4e21191710bc2c8201bbc6,33029_1,depth_fault,33919_1,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33029_1.mp4,,
f946bf6d74e1332f6e01eec2197210298fd5d999a1b22ac1733ab91e7677a0d9,37527_2,depth_fault,38111_2,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37527_2.mp4,,
7f616be18df7985311ca2799ff4dcb1324d43578ba0e08ec7f3a81f1e6315665,50868_2,good_form,50352_2,posture_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50868_2.mp4,,
b90ccfd6f837a1e6e3e53206e26651f6ee7551138e74df149a1bc06bd06d9913,37976_3,depth_fault,38115_3,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37976_3.mp4,,
8886f78e3df2a0374b8a4885af58890e4c66514f79bcd2b799315314e50532a1,36243_3,depth_fault,37049_3,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36243_3.mp4,,
fb5c9fccd5ed605a953f5fb27ba7f46cd9c34b6e4fab0b12ec3efb58b3bf2e57,37058_2,good_form,36493_2,depth_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37058_2.mp4,,
7cb91395ee99afdd4f43a1333dc7c2caf0b2de1e7f7157d7628b403cc18ab770,50834_1,good_form,48979_1,posture_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50834_1.mp4,,
cde8afd5c0728ffd75ba8f575a81d80a6500dd326a357023aa039158d09b10e1,33877_2,depth_fault,33950_2,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33877_2.mp4,,
a64b7eb5af14b23994356d452c77ceb9164822da0bf368980a856661ac1a3142,38097_1,good_form,37304_1,depth_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/38097_1.mp4,,
9facf4112cb6e3b969839822f1be6bd8fcab31663c31fcc273935e3f23bd0f04,36504_1,posture_fault,37045_1,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36504_1.mp4,,
296f6dc7083453b393593707e433b0af8197c6549de913a6721e94ab0f239b8d,33844_2,depth_fault,33933_2,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33844_2.mp4,,
4d1f5cd249096f00712117e5d4ad4dd60c3e222704d50d40b384bcb7ba9b923e,38107_5,good_form,37095_5,depth_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/38107_5.mp4,,
a9b864f6324a47be082ae0eedb4fe2ab023e270cce6f9ca51adb41d2cff008a0,38106_4,good_form,38057_4,depth_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/38106_4.mp4,,
f8b1cdf953f34a3438ff36daaa15fd3e740246ab90b8a02e878ee9324384ee93,50836_4,good_form,50073_4,posture_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50836_4.mp4,,
04b1c3d5f1e1771f09b98158248c60cf0cd7bd8a64e4bbc5c4dd160426386b70,37197_5,depth_fault,38091_5,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37197_5.mp4,,
88e0cf048e7312eac3f0d9732374a64013801eda171b63d86d067115c68ce8cc,33947_3,good_form,33133_3,depth_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33947_3.mp4,,
7870b636c53af0670587f24f663b63aa552563b9b72a0185b73c310af33f4348,36124_1,posture_fault,37056_1,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36124_1.mp4,,
7dd213a3be8d9ed013a36e5594330eb6758e8b204c7f7ee2dc93858d4ef2c0f4,33151_1,depth_fault,33941_1,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33151_1.mp4,,
56c69348822fc2eee0bd689724cd93df9f122c9b53dc2d3e2ebb98539ec14a79,37055_1,good_form,36740_1,depth_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37055_1.mp4,,
968de8da901579a983566e26956ee1abe3ecef26775bc295a4ec7e1aad41a942,37000_1,depth_fault,37052_1,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37000_1.mp4,,
b347046a6a374c56ef0690c320ceef81c27d0ea423ffad9d4f7e2d9a8666e551,37083_1,depth_fault,38113_1,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37083_1.mp4,,
f2b3114eb6a42657db7c517a16ca7361ab3356eabdedfd8209836e0830c7719a,37151_1,posture_fault,38098_1,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37151_1.mp4,,
d6a7096933f6fd0fec4d7c824b0895f4900d16ca728e139a4da536959e17c663,50832_1,good_form,46621_1,posture_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50832_1.mp4,,
4c2a584da4f6022ae1eb61f484a20f36fa89242a024991c7a2ab74ab25244a6e,49233_2,posture_fault,50841_2,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49233_2.mp4,,
d06e4d63117969b39afb12ea35d7040948e3895395f555ee00070bd881f54d97,37430_2,depth_fault,38110_2,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37430_2.mp4,,
6da6f1a44a0ced2a99fd605223bcf1f687901b203893aea6753383b63596463e,50837_3,good_form,48465_3,posture_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50837_3.mp4,,
acd9ec09f6db1679e8418663e114ea08d100d9ae6cfea06947bd0daf8c0f40c1,37053_4,good_form,36602_4,depth_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37053_4.mp4,,
b0af3596e0df8ee0104fcfe5b0295347de3c836b96b074886952e7b5baa9a262,33944_1,good_form,33742_1,depth_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33944_1.mp4,,
07e937e84f5be7d4764918c44659f94b53b7abe05d6fc4b6bed10d44821fc82a,33345_1,depth_fault,33943_1,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33345_1.mp4,,
614d80fc27f51d95b1eca975ac1ce45e7310745fe38aebe5f9139951de0bc45a,36145_1,depth_fault,37054_1,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36145_1.mp4,,
4d9b8853b272fe80e43f008533ebc81ee2b426c209dc3360b85d9b079c802f5e,36212_3,depth_fault,37038_3,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36212_3.mp4,,
50f48276cbb1bafe40af708f7bfabc6cb3d8036b6fb7172fdfc82b6cebf97d57,49626_1,posture_fault,50867_1,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49626_1.mp4,,
6c38008d20de1e202a29bca65e73ba715e04c5d44f69a20a8de406bcf9ea0e4f,50854_1,good_form,50606_1,posture_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50854_1.mp4,,
f03ed9448d7a0d944d6156b25f2a0f5e207561ae2c2696222478eb596afabef5,50822_1,good_form,46359_1,posture_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50822_1.mp4,,
adec97b4b82eabbdce2bc5bfe1b2acd7833f73badebb527a004491243bb056a1,36978_4,depth_fault,37046_4,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36978_4.mp4,,
afee48d25937deb5b3dd695eaffadb12aae2af9c5f813ea8e4323e871db67d22,33367_1,depth_fault,33938_1,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33367_1.mp4,,
c781e63a978439438b518b7bef4ba9500872f54bb3a343759106849ad16ad24e,50176_1,posture_fault,50853_1,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50176_1.mp4,,
9fce603bc9a374ddcd7b4fab84553ed8cafcd336db0d7c30af2d85de221542e5,38101_1,good_form,37791_1,depth_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/38101_1.mp4,,
7f5da33e07892269137da4e3d7a19a03c6c1307242ea84eee72fd9c98bbcd182,37979_2,depth_fault,38105_2,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37979_2.mp4,,
b417713c2abfb872f7832973ed4da165fe9f2b35ba58ba355d9bbb380e7bf87a,45970_1,posture_fault,50848_1,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/45970_1.mp4,,
abfc32d35f6cebb70462408d8c9f6ab1bc869da559f88d23ad674f8c99310679,37048_2,good_form,36887_2,depth_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37048_2.mp4,,
e7fb7db0bf1ad11c84deacc800e07ba580fe20cf8e66191f31457121b8ac0b83,50590_2,posture_fault,50860_2,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50590_2.mp4,,
65e45fcf85e4594fe624552145f4e67e8dd73419c06cd12058eb6bde966f231d,37039_1,good_form,36113_1,depth_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37039_1.mp4,,
98e88fae32489df742eb57a18d5be322fb432ef844c9e521f7d4790c8765a9c6,37057_3,good_form,36365_3,depth_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37057_3.mp4,,
908e1caf6e37aaba111e01e02b16f23ae9da6a4f13b31c28b06c2bf2f72ee285,37051_1,good_form,36980_1,posture_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37051_1.mp4,,
a8c44f518fbc0df5e773e87276ac221242f583bb60bb1371814e3b33a6e00140,36910_1,depth_fault,37043_1,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36910_1.mp4,,
4558adee5e3eb3fd0f6c2500b1a6076e4aaae87ed40fa7119abcb9a193024544,38090_4,good_form,37904_4,depth_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/38090_4.mp4,,
e7a40d52243be0d314f4529a64378255670a5af180613d5d4a5c72725bdd3bdc,33652_1,depth_fault,33948_1,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33652_1.mp4,,
76e9dabcf4761555dadb219b0b5f4b5414a6e513aedaf942c9544755b2f5a6ac,50851_1,good_form,49353_1,posture_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50851_1.mp4,,
469d674e977a4efa0edd1f3be27d3a97f15c9139d8b2d06eaa2e3bf537eaaf91,38096_1,good_form,37429_1,depth_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/38096_1.mp4,,
f3318b40b7f177d1e5dc79607e5f3b3e7cf825395bf06773a35fda88fd48f4d1,46583_1,posture_fault,50864_1,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46583_1.mp4,,
71a67e60e2af4c8e9633eab17c55f99cf6b0e970086b8404797ddc700f2f8425,38102_2,good_form,37980_2,depth_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/38102_2.mp4,,
57356d1a0c135340afbe7b630f25d54667ea4c1dd72fd60ed934e7a383453a7e,36345_3,depth_fault,37041_3,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36345_3.mp4,,
195d0ecbeed3eb11e500cb6817d6e0d6ea74b06c2ff59b089066d49e720fe806,38103_2,good_form,37709_2,depth_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/38103_2.mp4,,
d8d09d6740a5e0b809ffff99e6814da384d4602bfb810827f067fe14e6027914,37047_2,good_form,36049_2,posture_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37047_2.mp4,,
41a1494ea807809bc87ab1217ec6e8b7d8e79103cbf5ca2c0fc55998b1d09ba9,50842_1,good_form,49338_1,posture_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50842_1.mp4,,
0225230a932c45cb1fe4549c9d10970eb203fc09528eb7d7037b726b8ca64771,37568_2,depth_fault,38112_2,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37568_2.mp4,,
3340adcb1994d32f0d96ddadf7e6a05c9b86b24d1375cff1fa4cfd04b75de337,47814_1,posture_fault,50825_1,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47814_1.mp4,,
f2518c8ef13ce4d340e42aacebd760e6594e847745a092945b0cdf4decdf91e1,37292_4,depth_fault,38108_4,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37292_4.mp4,,
8dc28f957b475747b8ca6a9ab8acfd6559b0f76b0c546323f9a480cadfc18ed0,37262_2,depth_fault,38099_2,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37262_2.mp4,,
9c75b1c9494e006095d2c28614c806a8c22cddd2f23092b46cf81f2b245489aa,46895_1,posture_fault,50838_1,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46895_1.mp4,,
1968a723067d049acf79c0de50e9eba54ed720aed7bb50a07dce86f5f452c292,33921_1,good_form,33072_1,posture_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33921_1.mp4,,
e27677a137f0d43e1d8730b1d884db1a99523199cca93c1e0d811836facaa920,38092_1,good_form,37998_1,depth_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/38092_1.mp4,,
ababa08811928ec834797027e066331595483818c87b6737fcf98be855de8d13,33576_2,posture_fault,33961_2,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33576_2.mp4,,
8eeeee6b77fdfdc79142dd35447dc41af0feca154d1f4ea4d5045f74ac64e126,36502_2,depth_fault,37042_2,good_form,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36502_2.mp4,,
05669fcd1a3a93c6b75a1cc324c54bf7de9820c9e332bc9e1e87946400761887,37040_1,good_form,36552_1,depth_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37040_1.mp4,,
851cc809375cf42f06c26cf7d4f50af2bc36e990f303b51bff6fa1b30817df5b,50863_2,good_form,47587_2,posture_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50863_2.mp4,,
436fa5f513b5977089ba809869ca4c77ab28b2e03ac7b93461c5537472358e5e,50833_2,good_form,47080_2,posture_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50833_2.mp4,,
64f5a987a960c1073508dada9276e16e854e20a1acae8d5f2683135d223f9961,50865_2,good_form,49943_2,posture_fault,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50865_2.mp4,,
