task,order_A,order_B,video,video_path,split,fill_in,shown_to_annotator
1_severity,25,225,46921_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46921_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,26,318,48484_7,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48484_7.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,27,300,50551_10,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50551_10.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,28,212,36143_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36143_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,29,13,50279_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50279_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,30,481,36709_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36709_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,31,342,49515_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49515_5.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,32,426,33248_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33248_3.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,33,145,46160_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46160_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,34,12,37773_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37773_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,35,462,48651_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48651_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,36,197,49195_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49195_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,37,55,33758_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33758_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,38,370,37941_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37941_3.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,39,33,33035_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33035_4.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,40,231,49000_8,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49000_8.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,41,332,49509_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49509_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,42,389,37757_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37757_3.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,43,129,36953_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36953_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,44,324,47939_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47939_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,45,128,37072_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37072_3.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,46,475,46651_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46651_5.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,47,9,36206_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36206_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,48,292,36408_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36408_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,49,477,49126_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49126_3.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,50,330,37337_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37337_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,51,64,37305_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37305_3.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,52,338,32991_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/32991_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,53,444,36358_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36358_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,54,484,46073_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46073_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,55,482,33297_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33297_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,56,167,36501_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36501_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,57,281,49734_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49734_4.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,58,451,50041_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50041_3.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,59,368,47646_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47646_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,60,54,48281_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48281_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,61,256,47742_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47742_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,62,168,46187_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46187_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,63,302,48253_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48253_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,64,341,48652_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48652_3.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,65,244,50624_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50624_5.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,66,285,36129_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36129_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,67,456,49143_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49143_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,68,159,36897_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36897_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,69,487,48816_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48816_4.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,70,59,46302_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46302_3.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,71,382,33417_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33417_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,72,298,48293_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48293_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,73,294,37663_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37663_5.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,74,142,49406_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49406_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,75,111,33805_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33805_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,76,373,37050_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37050_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,77,280,49402_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49402_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,78,28,45823_6,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/45823_6.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,79,94,47565_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47565_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,80,65,50264_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50264_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,81,79,46530_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46530_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,82,381,46134_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46134_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,83,32,48101_8,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48101_8.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,84,388,46881_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46881_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,85,276,47107_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47107_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,86,325,36788_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36788_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,87,169,48654_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48654_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,88,353,46616_20,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46616_20.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,89,71,50312_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50312_3.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,90,263,46286_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46286_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,91,362,36309_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36309_3.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,92,390,50320_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50320_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,93,486,33626_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33626_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,94,419,38060_7,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/38060_7.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,95,270,46007_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46007_3.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,96,416,37094_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37094_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,97,160,50611_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50611_3.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,98,136,48504_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48504_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,99,58,49387_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49387_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,100,151,48175_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48175_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,101,3,36977_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36977_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,102,203,36046_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36046_4.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,103,437,48110_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48110_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,104,155,46312_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46312_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,105,460,38011_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/38011_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,106,333,49802_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49802_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,107,282,49956_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49956_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,108,334,33440_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33440_2.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,109,489,50862_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50862_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,110,170,36947_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36947_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,111,436,50745_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50745_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,112,247,49355_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49355_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,113,195,33375_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33375_5.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,114,135,49949_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49949_2.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,115,480,37973_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37973_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,116,20,48618_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48618_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,117,48,33838_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33838_3.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,118,177,50204_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50204_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,119,495,37238_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37238_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,120,305,37587_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37587_4.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,121,385,50462_7,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50462_7.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,122,118,33499_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33499_1.mp4,test,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,123,296,46100_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46100_3.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,124,405,37840_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37840_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
1_severity,125,115,49807_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49807_1.mp4,train,"annotation_sheet_A.csv / _B.csv: severity_0_to_3, usable_yes_no, knees_forward_at_s, notes",
