video,video_path,severity_0_to_3,usable_yes_no,knees_forward_at_s,notes
33659_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33659_3.mp4,,,,
37535_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37535_2.mp4,,,,
48618_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48618_1.mp4,,,,
49295_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49295_2.mp4,,,,
49211_6,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49211_6.mp4,,,,
46465_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46465_3.mp4,,,,
36599_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36599_2.mp4,,,,
46230_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46230_1.mp4,,,,
49736_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49736_1.mp4,,,,
46896_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46896_3.mp4,,,,
45823_6,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/45823_6.mp4,,,,
49017_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49017_2.mp4,,,,
46820_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46820_1.mp4,,,,
46627_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46627_3.mp4,,,,
48101_8,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48101_8.mp4,,,,
33035_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33035_4.mp4,,,,
50705_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50705_1.mp4,,,,
49431_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49431_1.mp4,,,,
50334_12,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50334_12.mp4,,,,
36275_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36275_2.mp4,,,,
36351_11,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36351_11.mp4,,,,
48144_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48144_3.mp4,,,,
48624_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48624_1.mp4,,,,
50471_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50471_3.mp4,,,,
37093_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37093_3.mp4,,,,
33207_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33207_1.mp4,,,,
37249_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37249_4.mp4,,,,
46655_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46655_1.mp4,,,,
47205_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47205_2.mp4,,,,
48593_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48593_4.mp4,,,,
33838_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33838_3.mp4,,,,
47827_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47827_2.mp4,,,,
33634_10,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33634_10.mp4,,,,
36810_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36810_1.mp4,,,,
47650_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47650_1.mp4,,,,
46243_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46243_1.mp4,,,,
48281_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48281_2.mp4,,,,
33758_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33758_1.mp4,,,,
47459_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47459_1.mp4,,,,
49733_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49733_1.mp4,,,,
49387_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49387_1.mp4,,,,
46302_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46302_3.mp4,,,,
36748_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36748_2.mp4,,,,
48367_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48367_1.mp4,,,,
33775_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33775_3.mp4,,,,
46167_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46167_1.mp4,,,,
37305_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37305_3.mp4,,,,
50264_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50264_2.mp4,,,,
49408_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49408_1.mp4,,,,
48713_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48713_1.mp4,,,,
47666_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47666_2.mp4,,,,
33051_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33051_1.mp4,,,,
48141_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48141_1.mp4,,,,
50312_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50312_3.mp4,,,,
33425_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33425_1.mp4,,,,
50619_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50619_4.mp4,,,,
49833_11,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49833_11.mp4,,,,
47901_8,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47901_8.mp4,,,,
46507_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46507_2.mp4,,,,
50406_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50406_1.mp4,,,,
47288_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47288_2.mp4,,,,
46530_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46530_1.mp4,,,,
47931_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47931_1.mp4,,,,
48844_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48844_1.mp4,,,,
50844_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50844_1.mp4,,,,
49712_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49712_1.mp4,,,,
48483_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48483_2.mp4,,,,
37859_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37859_4.mp4,,,,
37662_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37662_2.mp4,,,,
50435_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50435_1.mp4,,,,
50060_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50060_2.mp4,,,,
45950_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/45950_1.mp4,,,,
49957_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49957_1.mp4,,,,
33765_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33765_1.mp4,,,,
48851_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48851_1.mp4,,,,
47194_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47194_1.mp4,,,,
47565_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47565_1.mp4,,,,
36880_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36880_1.mp4,,,,
50559_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50559_2.mp4,,,,
33454_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33454_1.mp4,,,,
36035_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36035_2.mp4,,,,
48394_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48394_1.mp4,,,,
36093_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36093_1.mp4,,,,
33045_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33045_1.mp4,,,,
48548_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48548_2.mp4,,,,
36858_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36858_1.mp4,,,,
50871_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50871_2.mp4,,,,
50846_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50846_2.mp4,,,,
47130_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47130_1.mp4,,,,
50599_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50599_3.mp4,,,,
37732_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37732_2.mp4,,,,
46725_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46725_1.mp4,,,,
33103_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33103_2.mp4,,,,
33805_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33805_1.mp4,,,,
48323_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48323_3.mp4,,,,
46648_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46648_1.mp4,,,,
46334_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46334_2.mp4,,,,
49807_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49807_1.mp4,,,,
47483_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47483_1.mp4,,,,
47681_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47681_1.mp4,,,,
33499_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33499_1.mp4,,,,
49724_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49724_2.mp4,,,,
47940_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47940_1.mp4,,,,
50829_11,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50829_11.mp4,,,,
47223_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47223_1.mp4,,,,
47919_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47919_1.mp4,,,,
36679_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36679_5.mp4,,,,
37958_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37958_1.mp4,,,,
33316_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33316_1.mp4,,,,
47703_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47703_2.mp4,,,,
37072_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37072_3.mp4,,,,
36953_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36953_1.mp4,,,,
46506_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46506_5.mp4,,,,
46029_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46029_1.mp4,,,,
46570_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46570_1.mp4,,,,
49565_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49565_5.mp4,,,,
49618_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49618_2.mp4,,,,
49949_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49949_2.mp4,,,,
48504_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48504_1.mp4,,,,
33555_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33555_5.mp4,,,,
36534_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36534_5.mp4,,,,
48840_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48840_5.mp4,,,,
33322_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33322_3.mp4,,,,
48451_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48451_1.mp4,,,,
49406_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49406_2.mp4,,,,
49191_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49191_4.mp4,,,,
36325_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36325_1.mp4,,,,
46160_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46160_1.mp4,,,,
37756_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37756_1.mp4,,,,
46413_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46413_4.mp4,,,,
47548_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47548_1.mp4,,,,
37936_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37936_1.mp4,,,,
33725_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33725_2.mp4,,,,
48175_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48175_2.mp4,,,,
50242_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50242_3.mp4,,,,
33630_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33630_2.mp4,,,,
47476_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47476_4.mp4,,,,
46312_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46312_2.mp4,,,,
32996_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/32996_2.mp4,,,,
46213_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46213_1.mp4,,,,
37423_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37423_1.mp4,,,,
36897_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36897_1.mp4,,,,
50611_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50611_3.mp4,,,,
48744_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48744_1.mp4,,,,
33503_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33503_2.mp4,,,,
49165_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49165_2.mp4,,,,
48720_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48720_1.mp4,,,,
49161_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49161_1.mp4,,,,
36166_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36166_1.mp4,,,,
36501_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36501_1.mp4,,,,
46187_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46187_1.mp4,,,,
48654_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48654_1.mp4,,,,
36947_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36947_1.mp4,,,,
45959_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/45959_1.mp4,,,,
47274_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47274_1.mp4,,,,
36746_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36746_1.mp4,,,,
46445_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46445_1.mp4,,,,
49490_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49490_5.mp4,,,,
36375_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36375_1.mp4,,,,
50204_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50204_1.mp4,,,,
46856_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46856_1.mp4,,,,
36954_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36954_2.mp4,,,,
33088_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33088_1.mp4,,,,
49596_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49596_1.mp4,,,,
47487_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47487_2.mp4,,,,
50174_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50174_1.mp4,,,,
48549_6,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48549_6.mp4,,,,
50591_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50591_1.mp4,,,,
36984_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36984_4.mp4,,,,
37812_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37812_2.mp4,,,,
33468_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33468_2.mp4,,,,
36614_10,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36614_10.mp4,,,,
37927_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37927_1.mp4,,,,
46466_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46466_3.mp4,,,,
33483_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33483_2.mp4,,,,
46239_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46239_5.mp4,,,,
47403_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47403_2.mp4,,,,
33375_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33375_5.mp4,,,,
37172_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37172_2.mp4,,,,
49195_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49195_1.mp4,,,,
37108_11,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37108_11.mp4,,,,
46482_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46482_2.mp4,,,,
48031_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48031_1.mp4,,,,
47559_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47559_3.mp4,,,,
48074_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48074_1.mp4,,,,
36046_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36046_4.mp4,,,,
47589_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47589_2.mp4,,,,
47861_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47861_2.mp4,,,,
33166_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33166_1.mp4,,,,
48143_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48143_1.mp4,,,,
47534_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47534_1.mp4,,,,
47315_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47315_4.mp4,,,,
46669_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46669_2.mp4,,,,
37906_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37906_3.mp4,,,,
36143_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36143_1.mp4,,,,
36354_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36354_2.mp4,,,,
47719_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47719_1.mp4,,,,
50278_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50278_1.mp4,,,,
50423_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50423_5.mp4,,,,
37596_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37596_1.mp4,,,,
36586_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36586_1.mp4,,,,
47808_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47808_1.mp4,,,,
50414_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50414_1.mp4,,,,
48683_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48683_1.mp4,,,,
36478_7,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36478_7.mp4,,,,
37597_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37597_3.mp4,,,,
33608_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33608_4.mp4,,,,
46921_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46921_1.mp4,,,,
49456_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49456_4.mp4,,,,
38035_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/38035_1.mp4,,,,
37723_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37723_2.mp4,,,,
47479_6,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47479_6.mp4,,,,
37413_6,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37413_6.mp4,,,,
49000_8,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49000_8.mp4,,,,
37067_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37067_1.mp4,,,,
46546_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46546_4.mp4,,,,
46125_10,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46125_10.mp4,,,,
47544_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47544_2.mp4,,,,
46026_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46026_1.mp4,,,,
37400_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37400_2.mp4,,,,
50172_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50172_2.mp4,,,,
47320_6,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47320_6.mp4,,,,
47570_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47570_1.mp4,,,,
50370_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50370_3.mp4,,,,
33063_6,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33063_6.mp4,,,,
33028_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33028_2.mp4,,,,
50624_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50624_5.mp4,,,,
36236_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36236_2.mp4,,,,
33048_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33048_1.mp4,,,,
49355_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49355_1.mp4,,,,
36585_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36585_1.mp4,,,,
47829_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47829_1.mp4,,,,
36544_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36544_1.mp4,,,,
47279_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47279_1.mp4,,,,
46217_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46217_1.mp4,,,,
36081_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36081_3.mp4,,,,
36732_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36732_3.mp4,,,,
33891_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33891_1.mp4,,,,
47742_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47742_2.mp4,,,,
37300_6,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37300_6.mp4,,,,
48727_8,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48727_8.mp4,,,,
50024_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/50024_2.mp4,,,,
49548_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/49548_1.mp4,,,,
36254_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36254_3.mp4,,,,
38109_14,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/38109_14.mp4,,,,
