video,split,corpus_class,dataset_knees_forward_intervals_s,dataset_knees_inward_intervals_s,any_fault_interval,posture_v1_prob_fault,posture_v1_says_fault_at_0.525,rule_knees_forward,rule_peak_s,rule_peak_inside_labelled_interval,view,frames_dir,video_path
33028_2,train,depth_fault,"[[1.18, 3.15]]",[],yes,0.500,no,UNCERTAIN,,,unknown,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33028_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33028_2.mp4
33044_11,train,posture_fault,"[[0.93, 2.0]]",[],yes,0.796,yes,OBSERVED,1.467,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33044_11,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33044_11.mp4
33045_1,train,depth_fault,"[[0.68, 2.34]]",[],yes,0.215,no,NOT_OBSERVED,1.567,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33045_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33045_1.mp4
33048_1,train,depth_fault,[],[],no,0.731,yes,UNCERTAIN,1.533,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33048_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33048_1.mp4
33051_1,train,depth_fault,"[[1.19, 4.95]]",[],yes,0.792,yes,OBSERVED,1.7,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33051_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33051_1.mp4
33052_1,train,depth_fault,"[[2.62, 4.53]]",[],yes,0.686,yes,NOT_OBSERVED,1.833,no,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33052_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33052_1.mp4
33058_3,train,depth_fault,"[[1.18, 2.02]]",[],yes,0.105,no,UNCERTAIN,,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33058_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33058_3.mp4
33063_6,train,depth_fault,[],"[[2.28, 3.72], [2.23, 3.7]]",yes,0.726,yes,OBSERVED,1.967,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33063_6,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33063_6.mp4
33071_1,train,depth_fault,"[[0.68, 1.64]]",[],yes,0.266,no,OBSERVED,1.033,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33071_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33071_1.mp4
33095_3,train,depth_fault,"[[0.34, 2.22]]",[],yes,0.658,yes,UNCERTAIN,1.4,yes,front,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33095_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33095_3.mp4
33096_3,train,depth_fault,[],[],no,0.483,no,OBSERVED,1.3,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33096_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33096_3.mp4
33103_2,train,depth_fault,[],[],no,0.103,no,UNCERTAIN,,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33103_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33103_2.mp4
33104_4,train,depth_fault,[],[],no,0.498,no,UNCERTAIN,1.1,,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33104_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33104_4.mp4
33124_2,train,depth_fault,"[[0.68, 2.47]]",[],yes,0.733,yes,OBSERVED,1.133,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33124_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33124_2.mp4
33146_1,train,posture_fault,"[[3.74, 4.43], [2.57, 4.87]]",[],yes,0.522,no,NOT_OBSERVED,1.567,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33146_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33146_1.mp4
33153_4,train,posture_fault,"[[0.62, 2.13]]",[],yes,0.782,yes,NOT_OBSERVED,0.967,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33153_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33153_4.mp4
33159_5,train,depth_fault,[],[],no,0.430,no,UNCERTAIN,,,unknown,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33159_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33159_5.mp4
33166_1,train,depth_fault,"[[1.46, 2.8]]",[],yes,0.164,no,OBSERVED,2.1,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33166_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33166_1.mp4
33171_1,train,depth_fault,"[[0.74, 4.09]]",[],yes,0.619,yes,OBSERVED,1.833,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33171_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33171_1.mp4
33176_3,train,posture_fault,"[[1.92, 3.47]]","[[1.41, 2.61], [1.44, 2.4]]",yes,0.598,yes,NOT_OBSERVED,1.233,no,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33176_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33176_3.mp4
33203_1,train,posture_fault,"[[0.88, 3.74]]",[],yes,0.328,no,UNCERTAIN,,,unknown,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33203_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33203_1.mp4
33207_1,train,depth_fault,[],"[[1.8, 3.39], [1.89, 3.04]]",yes,0.484,no,OBSERVED,1.467,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33207_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33207_1.mp4
33218_2,train,depth_fault,"[[2.57, 3.57], [2.1, 3.6]]",[],yes,0.832,yes,OBSERVED,1.233,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33218_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33218_2.mp4
33223_1,train,posture_fault,"[[0.56, 2.07]]","[[1.62, 2.64]]",yes,0.831,yes,OBSERVED,1.133,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33223_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33223_1.mp4
33234_1,train,depth_fault,"[[1.33, 3.1]]","[[2.03, 3.01], [2.01, 2.92]]",yes,0.423,no,NOT_OBSERVED,1.867,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33234_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33234_1.mp4
33235_2,train,depth_fault,"[[0.68, 1.92]]",[],yes,0.167,no,UNCERTAIN,1.333,yes,front,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33235_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33235_2.mp4
33236_3,train,depth_fault,"[[0.75, 2.35]]",[],yes,0.352,no,UNCERTAIN,,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33236_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33236_3.mp4
33238_3,train,depth_fault,"[[0.66, 2.47]]",[],yes,0.626,yes,OBSERVED,1.2,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33238_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33238_3.mp4
33245_2,train,depth_fault,[],[],no,0.500,no,UNCERTAIN,,,unknown,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33245_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33245_2.mp4
33253_2,train,depth_fault,"[[0.44, 3.13]]",[],yes,0.796,yes,OBSERVED,1.133,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33253_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33253_2.mp4
33254_1,train,depth_fault,"[[1.26, 3.44]]",[],yes,0.701,yes,OBSERVED,1.733,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33254_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33254_1.mp4
33277_10,train,depth_fault,"[[0.74, 1.28], [0.66, 2.07]]",[],yes,0.607,yes,OBSERVED,0.967,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33277_10,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33277_10.mp4
33279_1,train,depth_fault,"[[1.45, 4.72]]","[[2.71, 4.63]]",yes,0.725,yes,UNCERTAIN,2.4,yes,front,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33279_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33279_1.mp4
33284_1,train,depth_fault,"[[0.93, 2.66]]",[],yes,0.308,no,UNCERTAIN,1.933,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33284_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33284_1.mp4
33289_4,train,posture_fault,"[[2.06, 4.55]]",[],yes,0.224,no,UNCERTAIN,1.4,no,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33289_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33289_4.mp4
33290_1,train,depth_fault,[],[],no,0.764,yes,OBSERVED,1.367,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33290_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33290_1.mp4
33301_1,train,depth_fault,"[[1.15, 4.18]]","[[1.93, 3.67]]",yes,0.904,yes,OBSERVED,1.467,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33301_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33301_1.mp4
33303_1,train,posture_fault,"[[0.66, 5.13]]",[],yes,0.970,yes,OBSERVED,1.167,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33303_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33303_1.mp4
33305_8,train,good_form,[],[],no,0.152,no,UNCERTAIN,,,unknown,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33305_8,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33305_8.mp4
33329_5,train,depth_fault,[],"[[1.89, 2.93]]",yes,0.651,yes,OBSERVED,1.667,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33329_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33329_5.mp4
33330_3,train,good_form,[],[],no,0.566,yes,UNCERTAIN,1.733,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33330_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33330_3.mp4
33334_2,train,depth_fault,"[[1.1, 2.37]]",[],yes,0.498,no,UNCERTAIN,,,unknown,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33334_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33334_2.mp4
33357_2,train,depth_fault,"[[1.71, 2.61], [3.61, 4.53], [3.52, 4.24]]",[],yes,0.859,yes,NOT_OBSERVED,2.2,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33357_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33357_2.mp4
33364_2,train,depth_fault,"[[0.78, 2.47]]",[],yes,0.760,yes,NOT_OBSERVED,1.133,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33364_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33364_2.mp4
33374_2,train,depth_fault,"[[0.62, 1.5]]",[],yes,0.236,no,OBSERVED,0.8,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33374_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33374_2.mp4
33375_5,train,depth_fault,"[[2.06, 2.62], [3.96, 4.72], [1.96, 4.36]]","[[2.76, 4.17], [2.59, 4.18]]",yes,0.930,yes,OBSERVED,2.4,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33375_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33375_5.mp4
33384_1,train,depth_fault,"[[1.18, 3.86]]",[],yes,0.805,yes,NOT_OBSERVED,1.567,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33384_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33384_1.mp4
33388_4,train,good_form,[],[],no,0.488,no,NOT_OBSERVED,1.167,,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33388_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33388_4.mp4
33406_8,train,depth_fault,"[[0.69, 2.52]]",[],yes,0.711,yes,OBSERVED,1.1,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33406_8,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33406_8.mp4
33417_1,train,posture_fault,"[[2.22, 3.49]]",[],yes,0.932,yes,OBSERVED,1.233,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33417_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33417_1.mp4
33425_1,train,posture_fault,"[[3.06, 6.38]]",[],yes,0.849,yes,NOT_OBSERVED,2.4,no,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33425_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33425_1.mp4
33427_1,train,depth_fault,"[[0.39, 2.03]]",[],yes,0.643,yes,OBSERVED,1.3,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33427_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33427_1.mp4
33430_2,train,depth_fault,"[[0.9, 3.46]]",[],yes,0.704,yes,UNCERTAIN,,,front,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33430_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33430_2.mp4
33432_2,train,depth_fault,"[[0.66, 2.66]]","[[2.19, 3.36]]",yes,0.415,no,OBSERVED,1.867,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33432_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33432_2.mp4
33433_2,train,depth_fault,"[[0.58, 2.33]]",[],yes,0.802,yes,OBSERVED,1.533,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33433_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33433_2.mp4
33434_1,train,depth_fault,"[[0.53, 1.61]]",[],yes,0.323,no,OBSERVED,0.933,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33434_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33434_1.mp4
33440_2,train,depth_fault,[],[],no,0.631,yes,OBSERVED,1.033,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33440_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33440_2.mp4
33461_2,train,depth_fault,"[[0.73, 2.31]]",[],yes,0.790,yes,OBSERVED,1.4,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33461_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33461_2.mp4
33468_2,train,depth_fault,"[[4.58, 5.31]]",[],yes,0.844,yes,OBSERVED,3.733,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33468_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33468_2.mp4
33485_2,train,depth_fault,"[[0.47, 1.79]]",[],yes,0.318,no,NOT_OBSERVED,0.8,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33485_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33485_2.mp4
33491_1,train,depth_fault,"[[0.5, 2.72]]",[],yes,0.467,no,UNCERTAIN,0.967,yes,front,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33491_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33491_1.mp4
33497_1,train,good_form,[],[],no,0.136,no,NOT_OBSERVED,0.733,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33497_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33497_1.mp4
33511_1,train,good_form,[],[],no,0.147,no,UNCERTAIN,,,unknown,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33511_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33511_1.mp4
33513_1,train,depth_fault,[],[],no,0.339,no,UNCERTAIN,,,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33513_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33513_1.mp4
33532_1,train,depth_fault,"[[2.94, 8.17]]",[],yes,0.437,no,OBSERVED,4.967,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33532_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33532_1.mp4
33547_1,train,good_form,[],[],no,0.331,no,OBSERVED,2.0,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33547_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33547_1.mp4
33552_4,train,depth_fault,[],[],no,0.112,no,UNCERTAIN,,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33552_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33552_4.mp4
33554_3,train,depth_fault,[],[],no,0.028,no,UNCERTAIN,0.833,,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33554_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33554_3.mp4
33561_3,train,depth_fault,"[[0.8, 2.1]]",[],yes,0.229,no,OBSERVED,0.967,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33561_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33561_3.mp4
33565_1,train,depth_fault,"[[1.2, 2.55]]",[],yes,0.550,yes,UNCERTAIN,1.733,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33565_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33565_1.mp4
33591_1,train,depth_fault,"[[0.93, 2.99]]","[[1.63, 2.92], [1.49, 2.54]]",yes,0.640,yes,OBSERVED,1.133,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33591_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33591_1.mp4
33594_1,train,depth_fault,"[[2.19, 2.91]]","[[1.66, 2.63]]",yes,0.583,yes,OBSERVED,1.267,no,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33594_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33594_1.mp4
33599_4,train,depth_fault,"[[0.47, 2.16]]",[],yes,0.302,no,OBSERVED,0.9,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33599_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33599_4.mp4
33601_2,train,depth_fault,"[[0.78, 2.43]]",[],yes,0.471,no,OBSERVED,1.133,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33601_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33601_2.mp4
33608_4,train,depth_fault,"[[0.82, 2.97]]",[],yes,0.767,yes,NOT_OBSERVED,1.4,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33608_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33608_4.mp4
33620_4,train,depth_fault,"[[0.78, 2.06]]","[[1.58, 2.87], [1.71, 2.78]]",yes,0.633,yes,UNCERTAIN,,,unknown,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33620_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33620_4.mp4
33641_3,train,posture_fault,"[[0.86, 2.31]]",[],yes,0.488,no,NOT_OBSERVED,1.133,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33641_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33641_3.mp4
33643_1,train,posture_fault,"[[2.24, 3.02]]",[],yes,0.714,yes,NOT_OBSERVED,1.433,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33643_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33643_1.mp4
33648_1,train,depth_fault,"[[2.11, 5.45]]",[],yes,0.711,yes,NOT_OBSERVED,3.4,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33648_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33648_1.mp4
33654_3,train,depth_fault,"[[0.48, 1.73]]",[],yes,0.428,no,OBSERVED,1.033,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/33654_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33654_3.mp4
