video,content_hash,split,current_class,current_posture_bit,video_path
33838_3,a2c2aa57bff05e2f5101ab3cebf91c30508d795fc90a2747e5e682e4d877d820,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33838_3.mp4
33850_1,6b67f612d678f4f4dbb4c8fe84c364bb2b081b4afe47eb76fdd034384a1caf50,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33850_1.mp4
33924_4,949a7373b885ab1fc7ef547932b25ca4ac539c8629c67efab6ff6bd9b5b41363,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33924_4.mp4
33966_2,04220e02274a492bc7336c82758ec74d0dc829cc2ddf90526909c724641ffeec,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/33966_2.mp4
36035_2,90696934ac7c6d6a7a6ed9829830a33e53c1a665cdc07302af324e2943c44c1b,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36035_2.mp4
36046_4,9fb6e1e3c11ee9fafc2d247a3e1a4fdaeee1ab1b4cce414a1b7a60ce06c46819,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36046_4.mp4
36081_3,542e7229c37ad61c74bda107cd68001cc27af54e1c8daa9017d76166dcd22535,test,depth_fault,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36081_3.mp4
36107_1,8b4adf4e08a3a0c9b6cc8787574f0182f6525978d255f6e3b8e3b3f2f1b1b9dc,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36107_1.mp4
36133_2,223e30d60f4a177de9b9817c9f6ab0d2818a84b9e91e39d07b8b42a3213346b2,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36133_2.mp4
36221_1,8b14187b9f16eea282bdd05da94bd955be92680e9cf6a6c426a157a7dccec4c2,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36221_1.mp4
36238_5,c3d6dbff347ff09ae76820001b45c3623b2b888c93bb62c6f16de7a7753ed044,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36238_5.mp4
36254_3,2765cca211a1629e916268453f4764f7140d703eaf6900e35d573271178e94e6,test,depth_fault,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36254_3.mp4
36269_1,93ac2ec01e1ebc0ccf951477936c819e808267a2a1aabac0d8d2c8576068e81a,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36269_1.mp4
36275_2,0cb750768c21247993bd81ca8ab28ef77610b0bfa915966fc0d29948cda4b569,test,depth_fault,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36275_2.mp4
36292_2,2cceee21274466e022b07530089003e288b4f7f88afb376afd0f86724a47ab5b,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36292_2.mp4
36309_3,f96b55aefd0154e933aba1ba3825312bc117a8f1208c8660dd7660773d2e9324,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36309_3.mp4
36389_4,33f601cfeae35e23f3e83e740fc1685bc023ee2872e0e9d9dbb769f856082b3f,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36389_4.mp4
36408_2,fc74a45685397658316e8dc600c9eb1bd66bf1072423d88951d241bbafe89939,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36408_2.mp4
36478_7,b4ef247233486f601c3807528f78e89af1b5488f96a3f2e23ad4073932e13f9a,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36478_7.mp4
36544_1,fea829f3f068c0720663b70e6edc622ca03e3a52d4e1d15565330fd121cf6727,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36544_1.mp4
36563_2,c401467963f3f3a212fa86f956bd9d64bee2e27f9be999c0edc8f0d96e5c1fff,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36563_2.mp4
36585_1,0f5ffe7d01cb01f0f8d2e5ef9ea0644f7bff38a6bf8bbd3dbde0e70aab2791ab,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36585_1.mp4
36586_1,9b5459156841f4e4f911b85856bdeb3e58b921685b983b8d1cde8952a9a3bfdc,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36586_1.mp4
36599_2,03ca043ea8aae57a879fb727ac1199669a83adb31e14e8b8f83ce0f2c02aab85,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36599_2.mp4
36654_1,f905572f288cca45871c32b5daeb5e4bec61dd7737badb7a8a94bb51b83e0c0c,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36654_1.mp4
36667_1,fafcd384453a2d2d4a5a70c9a9f8f5903a293285f20e8496c92bd38ee8fad3bb,test,depth_fault,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36667_1.mp4
36672_1,fa98d85496adc82ba42dc6d0fc0d551a38eae952bff19196297bf9bd9accd060,test,depth_fault,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36672_1.mp4
36679_5,e7d49c6e6565182ce5c4b51aaa74a3a8fb23bc5d010210fd1ac2c1e00cfdaa5f,test,depth_fault,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36679_5.mp4
36709_1,3afbedc5798556a5c56e2f8e01bb733a0aaf56105dbe49681ff21f4c621fd4ed,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36709_1.mp4
36732_3,950946f037d8dcf0e1a703bea09e5f3cc49d535d7e38fc2dabbe1bdd1a0b8d56,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36732_3.mp4
36746_1,dc8a3ff40e1c606a484c2cd9b0fbd32f427eb23ff8cbddcc80771926ad389ec8,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36746_1.mp4
36748_2,cfb86e3288a1d654ccfc640214aee52968c0439c4e0eb60db0c3a00e83035587,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36748_2.mp4
36865_3,d6138e90f6cda9bb3a78bfd3878f6958c8a3e2921624d6e3ee1bba778e416b14,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36865_3.mp4
36897_1,257eacf334123f0a929786c1f8826becfe23ba41a967cc366de996078940e700,test,depth_fault,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36897_1.mp4
36911_2,bb797f71e2f38e12e7837105a2a821d63d8618d3b9660450a890528825d6f1ee,test,depth_fault,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36911_2.mp4
36954_2,7941e31b13efb6f9ff11ca7f5694c578ae384327b176a036f57e986938499acb,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36954_2.mp4
36963_1,ec3fc661da2313334f2d5ef64c65c3b8b025589039db911345984f9a51af5c02,test,depth_fault,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36963_1.mp4
36975_1,d341de9697077f343d9b6d3f6c55abbc1c74487cd26a205b1b7b92b0d0594041,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36975_1.mp4
36991_2,cf45abb870a4061b4767a0cb1c2e22c31077419475255a0111695c8a85c78baa,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/36991_2.mp4
37050_1,8b14187b9f16eea282bdd05da94bd955be92680e9cf6a6c426a157a7dccec4c2,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37050_1.mp4
37067_1,01529763a227cc331ae405cdbf7478d0aef65e621722ae345a40f770618d2da5,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37067_1.mp4
37108_11,709007998d6357e773c437694e56f29ef9e9861e157a6d614eb603ab45d72684,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37108_11.mp4
37214_1,324384d0b7af8209f2c2c1a1ff1510cfa37279190da3b86476816e6c0a528d0e,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37214_1.mp4
37278_3,54a455ff0a76e084ffaa12ade9c33722534d903b611501582bd20335ec33f092,test,depth_fault,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37278_3.mp4
37337_1,c362d5f730ff6438c6e6627e4ccdc402c11c03da285e8d4a8a9a10b91663d007,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37337_1.mp4
37376_2,246c5879b3942c1c5b7c15d71a6b6a5c9b24f1932d4bcf7e8e179dce8d40f8d7,test,depth_fault,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37376_2.mp4
37400_2,0578a94f8cf241607502693e2ef3e4af6dc58cc8eb331ff724a8d29a0b8ce6a7,test,depth_fault,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37400_2.mp4
37413_6,3815bc457b341eb8032d73cfa14719b8335d51a0c0a4f23eafa483eac17ef448,test,depth_fault,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37413_6.mp4
37587_4,64e8bf3552b15fac38e9112c7efd5d9648626a9e692adb3dd6164a0f38a3b652,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37587_4.mp4
37596_1,6fcb3941fcda9cdb57cf81ddb60f409c7c2cd30723b511089f9545ddbdc5ef23,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37596_1.mp4
37603_1,c4f78c83316332039e5600c587f5aa91387024d7ddd421282e266e0a242271a1,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37603_1.mp4
37663_5,211a90ae4138a713d08432d07af8fa52f06e8a2f708af487589da905de912c29,test,depth_fault,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37663_5.mp4
37701_14,17b7ba51be8d91af211346b7e8d3bf3ce67b56f8e55346e1bf8428048656ba43,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37701_14.mp4
37723_2,191add52c6cd357295c0d858e30194833d9e79d2f8bfa9ef73533135255e91fb,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37723_2.mp4
37741_1,31795798e809e5ed7d82ad9c782e614b6bf68225fa71cec46f2ef67493f51d93,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37741_1.mp4
37812_2,f6ef2e6c5bc0b33906537642500d2878d9afbb58305ba75392198b01d7c092d6,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37812_2.mp4
37936_1,8396b3a359292040170075eb1eeb668b39612fab7766e258ec074a88e7c57616,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37936_1.mp4
37973_1,b2a29cfc7a2a6629a2ad5c1253ee8ae943ab9d9fa9472400e32925afda2b0ca0,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/37973_1.mp4
38011_2,ef1aa112f7106202ff0c4b2ebc137fd96c2c4cde9a87d9dd46863f6907cb36c7,test,depth_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/38011_2.mp4
38109_14,17b7ba51be8d91af211346b7e8d3bf3ce67b56f8e55346e1bf8428048656ba43,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/38109_14.mp4
45959_1,cc26ae9a0218036c8c01ec67d4426a11330256ef645af748e3390e47c298ebac,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/45959_1.mp4
46029_1,a32c88bc9d6ad47583da026989f899fde5d8a18ab680f9b67ff4eb63dff8f307,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46029_1.mp4
46183_3,64254e5ba36c4c48d6f1ca510e9dcd33ba3e19ca24335856b403e46f0266233b,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46183_3.mp4
46187_1,db8ba37addd21c30af9485a304e1ca4aa826c4bc71a300e5eea363effc13993b,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46187_1.mp4
46213_1,995d2daac2f93a2bf793fe99c161e74539b1f40c9186e95c2f2983387c8b9ef4,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46213_1.mp4
46239_5,f9dcc75323ec4e503fce617b033a48f2635b979ade28e437b08d63c33e23e378,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46239_5.mp4
46312_2,07a693eaac43b4fc23b3c171062de6dd325dde3493d8e3efeda4a85c4fd6582e,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46312_2.mp4
46376_1,a396bf9670d07a8c01831006624d9afdd8d3f5ccdf0449c691d34a67d16b2df7,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46376_1.mp4
46424_5,85b9a3c0ac079bfa2f12318468534bcb4d772898a78b46e877f8042150ed8e9e,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46424_5.mp4
46465_3,c91d3b99e2afb6aea9da9b5a1487ae346dde2a1591a0efcbb1c7e9f181349aa5,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46465_3.mp4
46466_3,534ddfdc1da0b9263965c2c7c1f73d5c2fa4408f2c959e6004dddf77c53c8305,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46466_3.mp4
46530_1,49f92210c1f9665ea448fa853ea79346050fc99e160b15aad9bcde625934ee6f,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46530_1.mp4
46546_4,e89973296e2122fcbe0d75a6ac4d4130fce7ab7e61154da2f27c93c3e06eea74,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46546_4.mp4
46571_3,124b223fe6f2dc8154aa6d50c040420f9fdd56a7ae25759117ccdc5489434602,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46571_3.mp4
46579_1,54bc8d54f2dfaea23c76a2da40a4e6b510a798773c3e84813bc4cb9750f6faf8,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46579_1.mp4
46616_20,68d303c394528f3423f67537d9eb3ad9cbcdb520f13dba8d80af2dd6f85eaf99,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46616_20.mp4
46648_1,9828e61ab007d8c2276d8cf742f2fa6abb32baa7e4aed333e78a80c895740884,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46648_1.mp4
46820_1,751564f5036730f583cb04e19924523050ef0740c33e9e0269f472f24c1ebc8d,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46820_1.mp4
46881_1,270976b017d7d15392597ab1c8b9d8b9ef31b4af052867dd3559d12ceb680698,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46881_1.mp4
46896_3,a72cf78ac8050ad1b10e40a5141da575d4b0d22edd223b78f968bb00a03015dc,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46896_3.mp4
46921_1,fe153f4ba1b3d748c2867233f69aa7929a2572858f0259db804cd1851a225e88,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46921_1.mp4
47128_1,ad791990981d894c5a445838b6e509c63558d3de22f8f335721b89d1aabaf803,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47128_1.mp4
47205_2,3be3bcf4057cc55c8125ac2b339e82049b7ecae7cdf3d5bf685e15a21d2b4a24,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47205_2.mp4
47223_1,aa35f9a5194e6eab48131323aff3d19b5c32f74b685e7f49cd94a204591402f6,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47223_1.mp4
47288_2,1913ce32aa79e69c9c69616e9f9182e3878f6b97776eb3d7914f421099c6eb49,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47288_2.mp4
47305_1,92362f1b6fd8c252f37bb0b9570682ae471a68e7470400e8f3f673d3c6cf5fb3,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47305_1.mp4
47320_6,153461d6d1388be0edbed0a538c3a99032e70e29324c8d8b31e255958263001e,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47320_6.mp4
47459_1,931068a9cf964c1278d09d7bc8cdff59e526bd85671c0b59d4c0764e861a5b13,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47459_1.mp4
47487_2,2669bff2c9593f4b8e73720c9c436d29c3ba9cde6ba5900940f2d5a33ac8857f,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47487_2.mp4
47523_1,f80d9358d4cfc5bdf71a08755e4c1567d53834e8d90443da3cf1663a3f03377c,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47523_1.mp4
47534_1,cf0f13fbe3adb1e797816d0cafaea3b479adece7f4ace213fc150c5f3de2617c,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47534_1.mp4
47535_3,5d989e82a3d1eca874f3f9bd0a717422b6ff8d535bb17c0dcd3c36f1f128ce74,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47535_3.mp4
47537_2,6e15598816f19bb9977a84ffd5e6052c6ef1aa3317aa80a119a3e8976c88f135,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47537_2.mp4
47565_1,737f6b8cde4fd049d897188f0268c97e9a64dcaaae7f0b2852cd965b76a7fb64,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47565_1.mp4
47589_2,4f7017fb17d42739dbe0394dc82524cf8f9a62492e0af61ad5e9d1eac9b278ff,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47589_2.mp4
47645_5,608c12e91f6d4b4906910a740351ce9f9589814ec483b69246cb905120cb12ab,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47645_5.mp4
47658_6,baa55692ecbc8f40405618ae175d6dfdd3a14f525f50c6d4c3ffd2864bd23798,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47658_6.mp4
47719_1,2caa7931f08df21c0663fd4cf100b8a38539eeb390dac69494dcea5c2ebdb6ad,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47719_1.mp4
47750_4,304ed881c6a6862ec6f4e26625d8a3fef9434c1c776904bc3fe704bcece98837,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47750_4.mp4
47808_1,89c8a2038e052cd00433f071e682ea24ea9911f73038fe4829a3cf058b1074a3,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47808_1.mp4
47861_2,09b225fa344c15c761bf1a805330d4ef6a89bbab3238658e3b2ece77528dd0e1,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47861_2.mp4
47910_3,7a9c7985f59592a0b59c85f8eab0fdfb8e3d5a558ae7aa03c5715737c68db5dd,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47910_3.mp4
48101_8,06a998dc4a69d1093b26d7a75507b480e9a5b127745297983909ae0c2f36d512,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48101_8.mp4
48110_2,56c460324f21f126f1e2c0c73d3c6704dce4a82b85914c04472a59035467ede8,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48110_2.mp4
48143_1,8cf6a8b23b423df0de19e2bd54b210e65d2b117f7e28cdf5a74d44908e6e0c4e,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48143_1.mp4
48179_2,a455bc0435029f3e1418b47e729355ab76fbf7f6357dfd78d536fd0bc7a7a140,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48179_2.mp4
48238_3,c209a3f13f40fc692076c79a24f9434fbd42938510639ab21f13bf43df345a9a,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48238_3.mp4
48281_2,df06a365736d8fa35317ea427fadeff17dbd34781aa96858fb07e359a52543fc,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48281_2.mp4
48323_3,629fcf77c48dfb9cf53694dd57a78d6117286608b98b5c1b15effcca3f9aa2d6,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48323_3.mp4
48375_3,a382dcd0a9e46c5b2e0d8ec222ec818ae43cad86132ad773385439b65286f1d6,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48375_3.mp4
48394_1,50df1aa9eb44b726b46beead778811e6702568d17224ea72c46a0ba855ace01a,test,good_form,0,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48394_1.mp4
48445_1,577b7e73edf583c305804f3b2871727dbe71aa2d656c249a67edc9119bfd9ac9,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48445_1.mp4
48451_1,f5e51205aa249bdccef79a5493b8258f821e965c1bb4d443874cbd067bfdd2ea,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48451_1.mp4
48504_1,209e63ad1ee442695cc538fb4ffef3a8a48df11e98a8d5811fc40fc5806331ee,test,posture_fault,1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/48504_1.mp4
